product_name,product_url,category,images_count,local_files
"Картридж для многозарядного электрошокера X2",https://paralizator.com.ua/cartridge-x2,"Аксессуары и комплектующие",2,"data/images_original/image/catalog/fototovarov/detali/tazerx2/cartridge-taser-x2-usa-11.jpg | data/images_original/image/catalog/fototovarov/detali/tazerx2/cartridge-taser-x2-usa-2.jpg"
"Картридж для стреляющего шокера X26P",https://paralizator.com.ua/cartridge-x26p,"Аксессуары и комплектующие",3,"data/images_original/image/catalog/fototovarov/detali/x26p/cartridge-taser-x26p-11.jpg | data/images_original/image/catalog/fototovarov/detali/x26p/cartridge-taser-x26p-3.jpg | data/images_original/image/catalog/fototovarov/detali/x26p/cartridge-taser-x26p-2.jpg"
"Шокер 1315 Police",https://paralizator.com.ua/elektroshoker-1315-police,"Фонарики электрошокеры",5,"data/images_original/image/catalog/fototovarov/fonariki/2020/shoker-2020-police-1.jpg | data/images_original/image/catalog/fototovarov/fonariki/2020/shoker-2020-police-2.jpg | data/images_original/image/catalog/fototovarov/fonariki/2020/shoker-2020-police-3.jpg | data/images_original/image/catalog/fototovarov/fonariki/2020/shoker-2020-police-4.jpg | data/images_original/image/catalog/fototovarov/fonariki/2020/shoker-2020-police-5.jpg"
"Шокер TW-1802",https://paralizator.com.ua/elektroshoker-1802,"Фонарики электрошокеры",6,"data/images_original/image/catalog/fototovarov/fonariki/1802/elektroshoker-tw-1802-1.jpg | data/images_original/image/catalog/fototovarov/fonariki/1802/elektroshoker-tw-1802-5.jpg | data/images_original/image/catalog/fototovarov/fonariki/1802/elektroshoker-tw-1802-4.jpg | data/images_original/image/catalog/fototovarov/fonariki/1802/elektroshoker-tw-1802-3.jpg | data/images_original/image/catalog/fototovarov/fonariki/1802/elektroshoker-tw-1802-2.jpg | data/images_original/image/catalog/fototovarov/fonariki/1802/elektroshoker-tw-1802-6.jpg"
"Молния YB-1321",https://paralizator.com.ua/elektroshoker-2018-police,"Фонарики электрошокеры",6,"data/images_original/image/catalog/fototovarov/fonariki/2018/shoker-2018-police-0.jpg | data/images_original/image/catalog/fototovarov/fonariki/2018/shoker-2018-police-2.jpg | data/images_original/image/catalog/fototovarov/fonariki/2018/shoker-2018-police-3.jpg | data/images_original/image/catalog/fototovarov/fonariki/2018/shoker-2018-police-4.jpg | data/images_original/image/catalog/fototovarov/fonariki/2018/shoker-2018-police-5.jpg | data/images_original/image/catalog/fototovarov/fonariki/2018/shoker-2018-police-6.jpg"
"Шокер HY-6610",https://paralizator.com.ua/elektroshoker-6610,"Фонарики электрошокеры",6,"data/images_original/image/catalog/fototovarov/fonariki/6610/elektroshoker-6610-police-1.jpg | data/images_original/image/catalog/fototovarov/fonariki/6610/elektroshoker-6610-police-2.jpg | data/images_original/image/catalog/fototovarov/fonariki/6610/elektroshoker-6610-police-3.jpg | data/images_original/image/catalog/fototovarov/fonariki/6610/elektroshoker-6610-police-4.jpg | data/images_original/image/catalog/fototovarov/fonariki/6610/elektroshoker-6610-police-5.jpg | data/images_original/image/catalog/fototovarov/fonariki/6610/elektroshoker-6610-police-6.jpg"
"Шокер 800 Turbo",https://paralizator.com.ua/elektroshoker-800-turbo,"Классические электрошокеры",7,"data/images_original/image/catalog/fototovarov/klassicheskie/800turbo/elektroshoker-taser-800-turbo-0.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/800turbo/elektroshoker-taser-800-turbo-2.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/800turbo/elektroshoker-taser-800-turbo-3.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/800turbo/elektroshoker-taser-800-turbo-4.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/800turbo/elektroshoker-taser-800-turbo-5.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/800turbo/elektroshoker-taser-800-turbo-7.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/800turbo/elektroshoker-taser-800-turbo-8.jpg"
"Шокер 910A Police",https://paralizator.com.ua/elektroshoker-910a-police-original-s-chehlom,"Фонарики электрошокеры",6,"data/images_original/image/catalog/fototovarov/fonariki/910a/shoker-910a-police-1.jpg | data/images_original/image/catalog/fototovarov/fonariki/910a/shoker-910a-police-2.jpg | data/images_original/image/catalog/fototovarov/fonariki/910a/shoker-910a-police-3.jpg | data/images_original/image/catalog/fototovarov/fonariki/910a/shoker-910a-police-4.jpg | data/images_original/image/catalog/fototovarov/fonariki/910a/shoker-910a-police-5.jpg | data/images_original/image/catalog/fototovarov/fonariki/910a/shoker-910a-police-6.jpg"
"Шокер AKIS PRO (black)",https://paralizator.com.ua/elektroshoker-akis-pro-black,"Классические электрошокеры",6,"data/images_original/image/catalog/fototovarov/klassicheskie/problack/elektroshoker-pro-black-1.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/problack/elektroshoker-pro-black-2.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/problack/elektroshoker-pro-black-3.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/problack/elektroshoker-pro-black-5.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/problack/elektroshoker-pro-black-4.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/problack/elektroshoker-pro-black-6.jpg"
"Шокер AKIS PRO (yellow)",https://paralizator.com.ua/elektroshoker-akis-pro-yellow,"Женские электрошокеры",6,"data/images_original/image/catalog/fototovarov/klassicheskie/pro-yellow/elektroshoker-pro-yellow-1.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/pro-yellow/elektroshoker-pro-yellow-2.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/pro-yellow/elektroshoker-pro-yellow-3.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/pro-yellow/elektroshoker-pro-yellow-4.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/pro-yellow/elektroshoker-pro-yellow-5.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/pro-yellow/elektroshoker-pro-yellow-6.jpg"
"Электрошокер TW-10",https://paralizator.com.ua/elektroshoker-alarm-tw-10,"Классические электрошокеры",7,"data/images_original/image/catalog/fototovarov/klassicheskie/tw-10/shoker_tw_10_1.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/tw-10/shoker_tw_10_2.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/tw-10/shoker_tw_10_3.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/tw-10/shoker_tw_10_4.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/tw-10/shoker_tw_10_5.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/tw-10/shoker_tw_10_6.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/tw-10/shoker_tw_10_7.jpg"
"Шокер ZZ 1168 Police",https://paralizator.com.ua/elektroshoker-barracuda-1168-police-original,"Фонарики электрошокеры",5,"data/images_original/image/catalog/fototovarov/fonariki/1168/shoker-zz-1168-police-1.jpg | data/images_original/image/catalog/fototovarov/fonariki/1168/shoker-zz-1168-2.jpg | data/images_original/image/catalog/fototovarov/fonariki/1168/shoker-zz-1168-3.jpg | data/images_original/image/catalog/fototovarov/fonariki/1168/shoker-zz-1168-4.jpg | data/images_original/image/catalog/fototovarov/fonariki/1168/shoker-zz-1168-police-5.jpg"
"Шокер BL 007 Police Wolf Tooth",https://paralizator.com.ua/elektroshoker-bl-007-police,"Фонарики электрошокеры",6,"data/images_original/image/catalog/fototovarov/fonariki/007/shoker-bl-007-police-1.jpg | data/images_original/image/catalog/fototovarov/fonariki/007/shoker-bl-007-police-2.jpg | data/images_original/image/catalog/fototovarov/fonariki/007/shoker-bl-007-police-3.jpg | data/images_original/image/catalog/fototovarov/fonariki/007/shoker-bl-007-police-4.jpg | data/images_original/image/catalog/fototovarov/fonariki/007/shoker-bl-007-police-5.jpg | data/images_original/image/catalog/fototovarov/fonariki/007/shoker-bl-007-police-6.jpg"
"Шокер BL 1105 Police",https://paralizator.com.ua/elektroshoker-bl-1105-police,"Фонарики электрошокеры",5,"data/images_original/image/catalog/fototovarov/fonariki/1105/shoker-bl-1105-police-1.jpg | data/images_original/image/catalog/fototovarov/fonariki/1105/shoker-bl-1105-police-2.jpg | data/images_original/image/catalog/fototovarov/fonariki/1105/shoker-bl-1105-police-3.jpg | data/images_original/image/catalog/fototovarov/fonariki/1105/shoker-bl-1105-police-4.jpg | data/images_original/image/catalog/fototovarov/fonariki/1105/shoker-bl-1105-police-5.jpg"
"Шокер дубинка BL 1138 Police",https://paralizator.com.ua/elektroshoker-bl-1138-police,"Дубинки электрошокеры",7,"data/images_original/image/catalog/fototovarov/dubinki/1138/shoker-bl-1138-police-1.jpg | data/images_original/image/catalog/fototovarov/dubinki/1138/shoker-bl-1138-police-2.jpg | data/images_original/image/catalog/fototovarov/dubinki/1138/shoker-bl-1138-police-3.jpg | data/images_original/image/catalog/fototovarov/dubinki/1138/shoker-bl-1138-police-4.jpg | data/images_original/image/catalog/fototovarov/dubinki/1138/shoker-bl-1138-police-5.jpg | data/images_original/image/catalog/fototovarov/dubinki/1138/shoker-bl-1138-police-6.jpg | data/images_original/image/catalog/fototovarov/dubinki/1138/shoker-bl-1138-police-7.jpg"
"Электрошокер BL 1201 Police",https://paralizator.com.ua/elektroshoker-bl-1201-police,"Фонарики электрошокеры",6,"data/images_original/image/catalog/fototovarov/fonariki/1201/shoker-bl-1201-police-1.jpg | data/images_original/image/catalog/fototovarov/fonariki/1201/shoker-bl-1201-police-2.jpg | data/images_original/image/catalog/fototovarov/fonariki/1201/shoker-bl-1201-police-3.jpg | data/images_original/image/catalog/fototovarov/fonariki/1201/shoker-bl-1201-police-4.jpg | data/images_original/image/catalog/fototovarov/fonariki/1201/shoker-bl-1201-police-5.jpg | data/images_original/image/catalog/fototovarov/fonariki/1201/shoker-bl-1201-police-6.jpg"
"Шокер BL M11 Police",https://paralizator.com.ua/elektroshoker-bl-m11-police,"Фонарики электрошокеры",6,"data/images_original/image/catalog/fototovarov/fonariki/818/shoker-osa-818-1.jpg | data/images_original/image/catalog/fototovarov/fonariki/818/shoker-osa-818-2.jpg | data/images_original/image/catalog/fototovarov/fonariki/818/shoker-osa-818-3.jpg | data/images_original/image/catalog/fototovarov/fonariki/818/shoker-osa-818-4.jpg | data/images_original/image/catalog/fototovarov/fonariki/818/shoker-osa-818-5.jpg | data/images_original/image/catalog/fototovarov/fonariki/818/shoker-osa-818-6.jpg"
"Шокер BL X5 Police",https://paralizator.com.ua/elektroshoker-bl-x5-police,"Фонарики электрошокеры",6,"data/images_original/image/catalog/fototovarov/fonariki/bl-x5/shoker-bl-x5-police-1.jpg | data/images_original/image/catalog/fototovarov/fonariki/bl-x5/shoker-bl-x5-police-2.jpg | data/images_original/image/catalog/fototovarov/fonariki/bl-x5/shoker-bl-x5-police-3.jpg | data/images_original/image/catalog/fototovarov/fonariki/bl-x5/shoker-bl-x5-police-4.jpg | data/images_original/image/catalog/fototovarov/fonariki/bl-x5/shoker-bl-x5-police-5.jpg | data/images_original/image/catalog/fototovarov/fonariki/bl-x5/shoker-bl-x5-police-6.jpg"
"Шокер брелок BMW 007",https://paralizator.com.ua/elektroshoker-bmw-007-black,"Женские электрошокеры",6,"data/images_original/image/catalog/fototovarov/zhenskie/007black/shoker-007.jpg | data/images_original/image/catalog/fototovarov/zhenskie/007black/shoker-007-2.jpg | data/images_original/image/catalog/fototovarov/zhenskie/007black/shoker-007-3.jpg | data/images_original/image/catalog/fototovarov/zhenskie/007black/shoker-007-4.jpg | data/images_original/image/catalog/fototovarov/zhenskie/007black/shoker-007-5.jpg | data/images_original/image/catalog/fototovarov/zhenskie/007black/shoker-007-6.jpg"
"Шокер Cobra 1106 PRO Police",https://paralizator.com.ua/elektroshoker-cobra-1106-pro-police,"Фонарики электрошокеры",5,"data/images_original/image/catalog/fototovarov/fonariki/1106-pro/shoker-cobra-1106-pro-1.jpg | data/images_original/image/catalog/fototovarov/fonariki/1106-pro/shoker-cobra-1106-pro-2.jpg | data/images_original/image/catalog/fototovarov/fonariki/1106-pro/shoker-cobra-1106-pro-3.jpg | data/images_original/image/catalog/fototovarov/fonariki/1106-pro/shoker-cobra-1106-pro-4.jpg | data/images_original/image/catalog/fototovarov/fonariki/1106-pro/shoker-cobra-1106-pro-5.jpg"
"Шокер Cobra 1106 Police",https://paralizator.com.ua/elektroshoker-cobra-1106,"Фонарики электрошокеры",6,"data/images_original/image/catalog/fototovarov/bl-1106/shoker-cobra-bl-1106-police-1.jpg | data/images_original/image/catalog/fototovarov/bl-1106/shoker-cobra-bl-1106-police-2.jpg | data/images_original/image/catalog/fototovarov/bl-1106/shoker-cobra-bl-1106-police-3.jpg | data/images_original/image/catalog/fototovarov/bl-1106/shoker-cobra-bl-1106-police-4.jpg | data/images_original/image/catalog/fototovarov/bl-1106/shoker-cobra-bl-1106-police-5.jpg | data/images_original/image/catalog/fototovarov/bl-1106/shoker-cobra-bl-1106-police-6.jpg"
"Шокер CW-1",https://paralizator.com.ua/elektroshoker-cw-1,"Классические электрошокеры",8,"data/images_original/image/catalog/fototovarov/klassicheskie/cw-1/elektroshoker-cw1-0.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/cw-1/elektroshoker-cw1-1.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/cw-1/elektroshoker-cw1-2.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/cw-1/elektroshoker-cw1-3.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/cw-1/elektroshoker-cw1-4.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/cw-1/elektroshoker-cw1-5.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/cw-1/elektroshoker-cw1-6.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/cw-1/elektroshoker-cw1-7.jpg"
"Шокер Desert Eagle (TW-302)",https://paralizator.com.ua/elektroshoker-desert-eagle-tw-302,"Классические электрошокеры",7,"data/images_original/image/catalog/fototovarov/klassicheskie/tw-302/shoker-tw302-1.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/tw-302/shoker-desert-eagle-2.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/tw-302/shoker-desert-eagle-3.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/tw-302/shoker-desert-eagle-4.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/tw-302/shoker-desert-eagle-5.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/tw-302/shoker-desert-eagle-6.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/tw-302/shoker-desert-eagle-7.jpg"
"Электрошокер ОСА 989",https://paralizator.com.ua/elektroshoker-dubinka-osa-989,"Дубинки электрошокеры",5,"data/images_original/image/catalog/fototovarov/dubinki/989/elektroshoker-osa-989-1.jpg | data/images_original/image/catalog/fototovarov/dubinki/989/elektroshoker-osa-989-2.jpg | data/images_original/image/catalog/fototovarov/dubinki/989/elektroshoker-osa-989-3.jpg | data/images_original/image/catalog/fototovarov/dubinki/989/elektroshoker-osa-989-4.jpg | data/images_original/image/catalog/fototovarov/dubinki/989/elektroshoker-osa-989-5.jpg"
"Шокер BL 1103 Police",https://paralizator.com.ua/elektroshoker-fonar-bl-1103-police,"Фонарики электрошокеры",6,"data/images_original/image/catalog/fototovarov/fonariki/1103/shoker-bl-1103-police-1.jpg | data/images_original/image/catalog/fototovarov/fonariki/1103/shoker-bl-1103-police-2.jpg | data/images_original/image/catalog/fototovarov/fonariki/1103/shoker-bl-1103-police-3.jpg | data/images_original/image/catalog/fototovarov/fonariki/1103/shoker-bl-1103-police-4.jpg | data/images_original/image/catalog/fototovarov/fonariki/1103/shoker-bl-1103-police-5.jpg | data/images_original/image/catalog/fototovarov/fonariki/1103/shoker-bl-1103-police-6.jpg"
"Шокер BL 1158 Police",https://paralizator.com.ua/elektroshoker-fonar-bl-1158-police,"Фонарики электрошокеры",6,"data/images_original/image/catalog/fototovarov/fonariki/1158/1.jpg | data/images_original/image/catalog/fototovarov/fonariki/1158/2.jpg | data/images_original/image/catalog/fototovarov/fonariki/1158/3.jpg | data/images_original/image/catalog/fototovarov/fonariki/1158/4.jpg | data/images_original/image/catalog/fototovarov/fonariki/1158/5.jpg | data/images_original/image/catalog/fototovarov/fonariki/1158/6.jpg"
"Шокер Blaze 288 Police",https://paralizator.com.ua/elektroshoker-fonar-osa-288-police,"Фонарики электрошокеры",4,"data/images_original/image/catalog/fototovarov/fonariki/288/shoker-bl-288-police-1.jpg | data/images_original/image/catalog/fototovarov/fonariki/288/shoker-bl-288-police-2.jpg | data/images_original/image/catalog/fototovarov/fonariki/288/shoker-bl-288-police-3.jpg | data/images_original/image/catalog/fototovarov/fonariki/288/shoker-bl-288-police-4.jpg"
"Шокер Gepard (TW-309)",https://paralizator.com.ua/elektroshoker-gepard,"Классические электрошокеры",7,"data/images_original/image/catalog/fototovarov/klassicheskie/gepard/elektroshoker-gepard-0.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/gepard/elektroshoker-gepard-2.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/gepard/elektroshoker-gepard-3.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/gepard/elektroshoker-gepard-4.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/gepard/elektroshoker-gepard-5.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/gepard/elektroshoker-gepard-6.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/gepard/elektroshoker-gepard-7.jpg"
"Шокер H168 Police",https://paralizator.com.ua/elektroshoker-h168,"Дубинки электрошокеры",6,"data/images_original/image/catalog/fototovarov/dubinki/n168/elektroshoker-h168-1.jpg | data/images_original/image/catalog/fototovarov/dubinki/n168/elektroshoker-h168-2.jpg | data/images_original/image/catalog/fototovarov/dubinki/n168/elektroshoker-h168-3.jpg | data/images_original/image/catalog/fototovarov/dubinki/n168/elektroshoker-h168-4.jpg | data/images_original/image/catalog/fototovarov/dubinki/n168/elektroshoker-h168-5.jpg | data/images_original/image/catalog/fototovarov/dubinki/n168/elektroshoker-h168-6.jpg"
"Шокер K80",https://paralizator.com.ua/elektroshoker-iphone-10,"Телефоны электрошокеры",7,"data/images_original/image/catalog/fototovarov/telefony/k80/shoker-k80-1.jpg | data/images_original/image/catalog/fototovarov/telefony/k80/shoker-k80-2.jpg | data/images_original/image/catalog/fototovarov/telefony/k80/shoker-k80-3.jpg | data/images_original/image/catalog/fototovarov/telefony/k80/shoker-k80-4.jpg | data/images_original/image/catalog/fototovarov/telefony/k80/shoker-k80-5.jpg | data/images_original/image/catalog/fototovarov/telefony/k80/shoker-k80-6.jpg | data/images_original/image/catalog/fototovarov/telefony/k80/shoker-k80-7.jpg"
"Шокер Iphone 4s",https://paralizator.com.ua/elektroshoker-iphone-7,"Телефоны электрошокеры",5,"data/images_original/image/catalog/fototovarov/telefony/iphone-7/shoker-iphone-7-1.jpg | data/images_original/image/catalog/fototovarov/telefony/iphone-7/shoker-iphone-7-2.jpg | data/images_original/image/catalog/fototovarov/telefony/iphone-7/shoker-iphone-7-3.jpg | data/images_original/image/catalog/fototovarov/telefony/iphone-7/shoker-iphone-7-4.jpg | data/images_original/image/catalog/fototovarov/telefony/iphone-7/shoker-iphone-7-5.jpg"
"Электрошокер i4",https://paralizator.com.ua/elektroshoker-iphone-i4,"Телефоны электрошокеры",7,"data/images_original/image/catalog/fototovarov/telefony/iphone-i4/shoker-iphone-i4-1.jpg | data/images_original/image/catalog/fototovarov/telefony/iphone-i4/shoker-iphone-i4-2.jpg | data/images_original/image/catalog/fototovarov/telefony/iphone-i4/shoker-iphone-i4-3.jpg | data/images_original/image/catalog/fototovarov/telefony/iphone-i4/shoker-iphone-i4-4.jpg | data/images_original/image/catalog/fototovarov/telefony/iphone-i4/shoker-iphone-i4-5.jpg | data/images_original/image/catalog/fototovarov/telefony/iphone-i4/shoker-iphone-i4-6.jpg | data/images_original/image/catalog/fototovarov/telefony/iphone-i4/shoker-iphone-i4-7.jpg"
"Электрошокер JA-1108 Police (Korea)",https://paralizator.com.ua/elektroshoker-ja-1108,"Дубинки электрошокеры",6,"data/images_original/image/catalog/fototovarov/dubinki/ja-1108/elektroshoker-ja-1108-1.jpg | data/images_original/image/catalog/fototovarov/dubinki/ja-1108/elektroshoker-ja-1108-2.jpg | data/images_original/image/catalog/fototovarov/dubinki/ja-1108/elektroshoker-ja-1108-3.jpg | data/images_original/image/catalog/fototovarov/dubinki/ja-1108/elektroshoker-ja-1108-4.jpg | data/images_original/image/catalog/fototovarov/dubinki/ja-1108/elektroshoker-ja-1108-5.jpg | data/images_original/image/catalog/fototovarov/dubinki/ja-1108/elektroshoker-ja-1108-6.jpg"
"Шокер JW-05 Type",https://paralizator.com.ua/elektroshoker-jw-05,"Классические электрошокеры",5,"data/images_original/image/catalog/fototovarov/klassicheskie/jw05/1.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/jw05/2.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/jw05/3.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/jw05/4.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/jw05/5.jpg"
"Шокер K90 black",https://paralizator.com.ua/elektroshoker-k90-lady-black,"Женские электрошокеры",5,"data/images_original/image/catalog/fototovarov/zhenskie/k90-blek/shoker-pomada-k90-black-1.jpg | data/images_original/image/catalog/fototovarov/zhenskie/k90-blek/shoker-pomada-k90-black-2.jpg | data/images_original/image/catalog/fototovarov/zhenskie/k90-blek/shoker-pomada-k90-black-3.jpg | data/images_original/image/catalog/fototovarov/zhenskie/k90-blek/shoker-pomada-k90-black-4.jpg | data/images_original/image/catalog/fototovarov/zhenskie/k90-blek/shoker-pomada-k90-black-5.jpg"
"Шокер K99",https://paralizator.com.ua/elektroshoker-k99,"Фонарики электрошокеры",6,"data/images_original/image/catalog/fototovarov/fonariki/k99/elektroshoker-k99-1.jpg | data/images_original/image/catalog/fototovarov/fonariki/k99/elektroshoker-k99-2.jpg | data/images_original/image/catalog/fototovarov/fonariki/k99/elektroshoker-k99-3.jpg | data/images_original/image/catalog/fototovarov/fonariki/k99/elektroshoker-k99-4.jpg | data/images_original/image/catalog/fototovarov/fonariki/k99/elektroshoker-k99-5.jpg | data/images_original/image/catalog/fototovarov/fonariki/k99/elektroshoker-k99-6.jpg"
"Шокер Кастет Blast Knuckle 008",https://paralizator.com.ua/elektroshoker-kastet-blast-knuckle,"Классические электрошокеры",6,"data/images_original/image/catalog/fototovarov/klassicheskie/008/elektroshoker-kastet-008-1.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/008/elektroshoker-kastet-008-2.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/008/elektroshoker-kastet-008-3.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/008/elektroshoker-kastet-008-4.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/008/elektroshoker-kastet-008-5.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/008/elektroshoker-kastet-008-6.jpg"
"Шокер Kelin K95",https://paralizator.com.ua/elektroshoker-kelin-k95,"Телефоны электрошокеры",6,"data/images_original/image/catalog/fototovarov/telefony/k95/shoker-k95-1.jpg | data/images_original/image/catalog/fototovarov/telefony/k95/shoker-k95-3.jpg | data/images_original/image/catalog/fototovarov/telefony/k95/shoker-k95-4.jpg | data/images_original/image/catalog/fototovarov/telefony/k95/shoker-k95-2.jpg | data/images_original/image/catalog/fototovarov/telefony/k95/shoker-k95-5.jpg | data/images_original/image/catalog/fototovarov/telefony/k95/shoker-k95-6.jpg"
"Шокер KL 800",https://paralizator.com.ua/elektroshoker-kl-800,"Классические электрошокеры",7,"data/images_original/image/catalog/fototovarov/klassicheskie/kl-800/elektroshoker-kl-800-0.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/kl-800/elektroshoker-kl-800-2.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/kl-800/elektroshoker-kl-800-3.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/kl-800/elektroshoker-kl-800-4.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/kl-800/elektroshoker-kl-800-5.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/kl-800/elektroshoker-kl-800-6.jpg | data/images_original/image/catalog/fototovarov/klassicheskie/kl-800/elektroshoker-kl-800-7.jpg"
